day_iso	inserted_rows
2025-12-01	790877
2025-12-02	978579
2025-12-03	1016399
2025-12-04	1022027
2025-12-05	1108703
2025-12-08	985142
2025-12-09	853267
2025-12-10	1018681
2025-12-11	1118551
2025-12-12	1251273
2025-12-15	1042918
2025-12-16	967749
2025-12-17	1084380
2025-12-18	1071182
2025-12-19	1114501
2025-12-22	949446
2025-12-23	829124
2025-12-26	824583
2025-12-29	793265
2025-12-30	714492
2025-12-31	740660
2026-01-02	1179644
2026-01-05	1119670
2026-01-06	1076798
2026-01-07	997454
2026-01-08	1005291
2026-01-09	1103022
2026-01-12	971493
2026-01-13	1064174
2026-01-14	1088122
2026-01-15	1050169
2026-01-16	1101761
2026-01-20	1210078
2026-01-21	1214073
2026-01-22	1050913
2026-01-23	1141901
2026-01-26	951991
2026-01-27	999683
2026-01-28	1047829
2026-01-29	1411720
2026-01-30	1321587
2026-02-02	1211537
2026-02-03	406978
2026-02-04	391209
2026-02-05	370300
2026-02-06	153182
2026-02-09	0
2026-02-10	0
2026-02-11	0
2026-02-12	20909
2026-02-13	0
2026-02-17	0
2026-02-18	0
2026-02-19	0
2026-02-20	2
2026-02-23	0
2026-02-24	0
2026-02-25	0
2026-02-26	0
2026-02-27	0
2026-03-02	0
2026-03-03	0
2026-03-04	0
2026-03-05	1
2026-03-06	50246
